3 Doors Down,Here Without You,Away From the Sun,Rock,3_doors_down_away_from_the_sun,,,Downloaded
3 Doors Down,Kryptonite,The Better Life,Rock,3_Doors_Down_The_Better_Life-Frontal,,,
50 cent,My Life,Street King Immortal,Hip Hop/Rap,50_cent_my_life.jpg,,,
AC/DC,Back in Black,Best of AC/DC,Rock,ACDC_back_in_black,,,Doug
Adele,Skyfall,21,Pop,adele_21.jpg,,,Doug
Akon,Angel,Angel Single,Hip Hop/ RnB,akon_angel,,Afrobeat,Doug
Akon,Right Now (Na Na Na),Freedom,Hip Hop/ RnB,akon_freedom,,,Doug
Akon ft Eminem,Smack That,Konvict,Hip Hop/ RnB,akon_konvict.jpg,,,Doug
"Akon, Colby O'Donis & Kardinal Offishal",Beautiful,Freedom,Hip Hop/ RnB,akon_freedom,,Blues,Doug
Alesso & Dirty South,City of Dreams,City of Dreams,Dance,alesso_city_of_dreams,,,Doug
Alicia Keys,Girl on Fire,Girl on Fire,R&B/ Soul,alicia_keys_girl_on_fire.jpg,,,Doug
Arctic Monkeys,Fluorescent Adolescent,Favourite Worst Nightmare,Alternative,arctic_monkey_favorite_worst_nightmare,,,
Armin Van Buuren,Broken Tonight,,Dance,Armin_van_buuren_broken_tonight,,,
Avicii,Levels,Serious Things,Dance,avicii_levels.jpg,,,Doug
"Axwell, Ingrosso & Laidback Luke",Leave the World Behind,Axwell Presents Axtone Vol.1,Dance,Axwell_axtone_no1,,,
Beyonce,Love On Top,4,R&B/ Soul,beyonce_4.jpg,,,Doug
Blink-182,All the Small Things,Enema of the State,Rock,blink_182_enema_of_the_state,,,
Bon Jovi,It's my life,Bon Jovi: Greatest Hits,Rock,bon_jovi_greatest_hits,,,
Bon Jovi,Livin' on a Prayer,Cross Road,Rock,Bon_Jovi-Cross_Road,,,
Bon Jovi,You Give Love a Bad Name,Cross Road,Rock,Bon_Jovi-Cross_Road,,,
Breaking Benjamin,I Will Not Bow,Dear Agony,Rock,breaking_benjamin_dear_agony,,,
Bruno Mars,Grenade,Doo-Wops & Hooligans,Pop,bruno_mars_doo_wops_and_hooligans,,,Doug
Bruno Mars,It Will Rain,The Twilight Sage: Breaking Dawn,Pop,bruno_marks_breaking_dawn.jpg,,,Doug
Bruno Mars,Just the Way You Are,Doo-Wops & Hooligans,Pop,bruno_mars_doo_wops_and_hooligans,,,Doug
Bruno Mars,Locked Out Of Heaven,Unorthodox Jukebox,Pop,bruno_mars_unorthodox_jukebox.jpg,,,
Bruno Mars,Marry You,Doo-Wops & Hooligans,Pop,bruno_mars_doo_wops_and_hooligans,,,Doug
Bruno Mars,The Lazy Song,Doo-Wops & Hooligans,Pop,bruno_mars_doo_wops_and_hooligans,,,Doug
Bryan Adams,Summer of 69,Anthology,,bryan_adams_anthology,,,
Calvin Harris,Drinking from the Bottle,18 Months,Dance,calvin_harris_18_months.jpg,,,Doug
Calvin Harris,Feel so Close,Feel So Close,Dance,calvin_harris-feel_so_close,,,Doug
Calvin Harris,Let's Go (ft. Neyo),18 Months,Dance,calvin_harris_18_months.jpg,,,Doug
Calvin Harris,Sweet Nothing,18 Months,Dance,calvin_harris_18_months.jpg,,,Doug
Carly Rae Jepsen,Call Me Maybe,Curiosity,Pop,carly_rae_jepsen_curiosity.jpg,,,Doug
Christina Perri,A Thousand Years,The Twilight Saga: Breaking Dawn,Pop,,,,
Coldplay,Paradise,Mylo Xyloto,Alternative,coldplay_mylo_xyloto.jpg,,,
David Guetta,Just One Last Time,Nothing but the Beat,Dance,david_guetta_nothing_but_the_beat.jpg,,,Doug
David Guetta,Without You,Nothing But The Beat,Dance,david_guetta_nothing_but_the_beat.jpg,,,Doug
David Guetta & Sia,Titanium (Feat. Sia),Titanium,Dance,,,,Doug
Davig Guetta (Ft Akon),Sexy Chic,One More Love,Dance,david_guetta_one_more_love.jpg,,,
Drake,Headlines,Take Care,Hip Hop/ Rap,,,,
Drake,Take Care,Take Care,Hip Hop/ Rap,drake_take_care.jpg,,,
Drake,The Motto (ft Lil Wayne),Take Care,Hip Hop/ Rap,,,,
Drake,The Real Her (ft Andre 300 & Lil Wayne),Take Care,Hip Hop/ Rap,,,,
Ellie Goulding,Lights,Lights,Pop,,,,Doug
Eminem,Lose Yourself,Lose Yourself,Hip Hop/ Rap,,,,Doug
Eminem,Mockingbird,Curtain Call: The Hits,Hip Hop/ Rap,,,,Doug
Eminem,The Real Slim Shady,Curtain Call: The Hits,Hip Hop/ Rap,,,,
Eminem,Til I Collapse,The Eminem Show,Hip Hop/ Rap,,,,
Eric Prydz,Call On Me,Call On Me,Dance,,,,
Eric Prydz,Pjanoo (Club Mix),Pjanoo,Dance,,,,
Flo Rida,Good Feeling,Wild Ones,Hip Hop/ Rap,flo_rida_wild_ones.jpg,,,Doug
Flo Rida,Let It Roll,Wild Ones,Hip Hop/ Rap,flo_rida_wild_ones.jpg,,,
Flo Rida,Whistle,Wild Ones,Hip Hop/ Rap,flo_rida_wild_ones.jpg,,,Doug
Foo Fighters,The Best Of U,Foo Fighters,Rock,,,,
Foster The People,Pumped Up Kicks,Torches,Alternative,,,,Doug
fun.,We are young,We Are Young,Alternative,,,,
Gotye,Somebody That I Used To Know (remix),Making Mirrors,Alternative,,,,
Green Day,When I Come Around,Dookie,Rock,,,,
Guns N' Roses,Paradise City,Appetite for Destruction,Rock,,,,
Gym Class Heroes [Ft. Adam Levine],Stereo Hearts,"GoodMusicAllDay.com Presents The Best Of June 5 - 10, 2011",Rock,,,,Doug
Imagine Dragons,It's Time,It's Time,Alternative,,,,
Jimi Hendrix,All Along the Watchtower,The Ultimate Experience,Rock,,,,
Justin Bieber,Beauty and a Beat,Believe,Pop,justin_bieber_believe,,Country,Doug
Justin Timberlake,Suit and Tie,The 20/20 Experience,Pop,justin_timberlake_the_20_20_experience.jpg,,,Doug
Kanye West,Clique,Clique,Hip Hop/ Rap,kanye_clique.jpg,,Pop,
Kanye West & Jay-Z,Niggas In Paris,Watch the Throne,Hip Hop/ Rap,,,,Doug
Katy Perry,The One That Got Away,Teenage Dream,Pop,katy_perry_teenage_dream.jpg,,,
Ke$ha,C'mon,Warrior,Pop,kesha_warrior,,Lounge,
Ke$ha,Die Young,Warrior,Pop,kesha_warrior,,Contemporary,
Kid Cudi,Pursuit Of Happiness,Man on the Moon: The End of Day,Hip Hop/ Rap,,,,Doug
Lady Gaga,Marry The Night,Born This Way,Pop,lady_gaga_born_this_way.jpg,,,Doug
Led Zeppelin,Stairway to Heaven,[Led Zeppelin IV],Rock,,,,
Linkin Park,Crawling,Hybrid Theory,Rock,,,,
Linkin Park,Faint,Meteora,Rock,,,,
Linkin Park,In the End,Hybrid Theory,Rock,,,,
Linkin Park,Numb,Live in Texas,Rock,,,,
Linkin Park,Somewhere I Belong,Meteora,Rock,,,,Doug
LMFAO,Party Rock Anthem,Party Rock Anthem,Dance,,,,Doug
LMFAO,Sexy and I Know It,Sorry for Party Rocking,Dance,,,,Doug
M83,Midnight City,"Hurry Up, We\'e2\'80\'99re Dreaming",Alternative,,,,
Macklemore,Thrift Shop,The Heist,Hip Hop/ Rap,,,,Doug
Maroon 5,Daylight,Overexposed,Pop,maroon_5_daylight.jpg,,R&B,Doug
Maroon 5,Moves Like Jagger,Hands All Over,Pop,maroon_5_hands_all_over.jpg,,,Doug
Maroon 5,One More Night,Overexposed,Pop,maroon_5_overexposed.jpg,,,Doug
Maroon 5,Payphone,Overexposed,Pop,maroon_5_overexposed.jpg,,,Doug
Maroon 5,She Will Be Loved,Songs About Jane,Pop,,,,Doug
Maroon 5,This Love,This Love,Pop,,,,Doug
Metallica,Enter Sandman,No Leaf Clover,Rock,,,,
Metallica,The Unforgiven II,Reload,Rock,,,,
M.I.A,Bad Girls,Matangi,Electronic,,,,
MGMT,Electric Feel (Album Version),Oracular Spectacular,Alternative,,,,
MGMT,Kids (Album Version),Oracular Spectacular,Alternative,,,,
Muse,Starlight,Black Holes and Revelations,Alternative,,,,
Muse,Uprising (Album Version),Uprising,Alternative,,,,
Nelly,Just a Dream,Just a Dream,Hip Hop/ Rap,,,,
Nickelback,Far Away,All The Right Reasons,Rock,nickelback_all_the_right_reasons.jpg,,,Doug
Nicki Minaj,Starships,Pink Friday,Hip Hop/ Rap,,,,Doug
Nicki Minaj,Super Bass,Pink Friday,Hip Hop/ Rap,,,,Doug
Nirvana,In Bloom,Nirvana,Rock,,,,Doug
Nirvana,Smells Like Teen Spirit,Nirvana,Rock,,,,Doug
Oasis/oasis,Wonderwall,(What's The Story) Morning Glory?,Rock,,,,
Of Monsters and Men,Little Talks,My Head Is an Animal,Alternative,,,,Doug
One direction,Kiss You,Take Me Home,Pop,one_direction_take_me_home.jpg,,,Doug
One direction,What Makes You Beautiful,Up All Night,Pop,one_direction_up_all_night.jpg,,,Doug
OneRepublic,Good Life,Waking Up,Rock,,,,Doug
Pearl Jam,Just Breathe,Backspacer,Rock,,,,Doug
Pendulum,The Island,Immersion,Dance,pendulum_immersion.jpg,,,Doug
Pink,Blow Me,The Truth About Love,Pop,pink_truth_about_love,,Electronic,Doug
Pink,Try,The Truth About Love,Pop,pink_truth_about_love,,,Doug
Pitbull,Donâ€™t Stop the Party,Global Warming,Hip Hop/ Rap,pitbull_global_warming.jpg,,K-pop,Doug
Psy,Gangnam Style,PSY 6,Pop,psy_psy6.jpg,,,Doug
Queen,Don't Stop Me Now,Greatest Hits,Rock,,,,Doug
Red Hot Chili Peppers,By the Way,By the Way,Alternative,,,,Doug
Red Hot Chili Peppers,Scar Tissue (Album Version),Scar Tissue,Alternative,,,,Doug
Red Hot Chili Peppers,The Zephyr Song,By the Way,Alternative,,,,Doug
Rihanna,Diamonds,Unapologetic,Pop,rihanna_apologetic.jpg,,Rock,Doug
Rihanna,Rude Boy,Rated R,Pop,,,,Doug
Rihanna,We Found Love,Talk That Talk,Pop,rihanna_talk_that_talk.jpg,,,Doug
Rihanna,Where Have You Been,Talk That Talk,Pop,,,,Doug
Rise Against,Prayer of the Refugee,The Sufferer & the Witness,Rock,,,,
Rise Against,Satellite,Endgame,Rock,,,,
Rise Against,Savior,Appeal to Reason,Rock,,,,
Robbie Williams,Candy,Take the Crown,Pop,robbie_williams_take_the_crown,,Hip Hop,
Skrillex,Bangarang,ThisSongIsSick.com,Dance,,,,
Skrillex,Cinema,Scary Monsters and Nice Sprites,Dance,,,,
Skrillex,Kill EVERYBODY,Scary Monsters and Nice Sprites,Dance,,,,
Skrillex,Scary Monsters and Nice Spirits,Scary Monsters and Nice Sprites,Dance,skrillex_scary_monsters.jpg,,,
Skrillex,Scary Monsters and Nice Sprites,Scary Monsters and Nice Sprites,Dance,,,,
Sublime,Santeria,Sublime,,,,,Doug
Swedish House Mafia,Don't You Worry Child,Until Now,Dance,swedish_house_mafia_until_now.jpg,,Jazz,Doug
Taylor Swift,I Knew You Were Trouble,Red,Pop,taylor_swift_red.jpg,,,Doug
Taylor Swift,We Are Never Getting Back Together,Red,Pop,taylor_swift_red.jpg,,,Doug
The Black Keys,Gold on the Ceiling,El Camino,Alternative,,,,Doug
The Black Keys,Lonely Boy,El Camino,Alternative,,,,Doug
The Lumineers,Ho Hey,Daytrotter Studio  10/11/2011,Alternative,,,,Doug
The Police,Every Little Thing She Does Is Magic,The Police,Rock,,,,Doug
The Strokes,Last Night,Is This It,Alternative,,,,Doug
The Weeknd,Wicked Games,Trilogy,RnB/Soul,the_weekend_trilogy.jpg,,,
Train,Drive By,Drive By,Rock,,,,Doug
Tyga,Do My Dance,Well Done 3,Hip Hop/ Rap,tyga_well_done_3.jpg,,Dubstep,
Tyga,Faded (ft. Lil wayne),Faded,Hip Hop/ Rap,,,,Doug
Tyga,Rack City,Rack City- Single,Hip Hop/ Rap,,,,Doug
U2,Beatiful Day,U2 18 Greatest Hits,Rock,,,,Doug
U2,One,Greatest Hits,Rock,,,,Doug
Usher,DJ Got Us Falling In Love Again,DJ Got Us Falling In Love Again,RnB/Soul,,,,Doug
Weezer,Island in the Sun,Weezer (Green Album),Alternative,,,,Doug
will.i.am,Scream and Shout,willpower,Pop,william_scream_and_shout.jpg,,,Doug